sno,instanceid,instancetype,instancearchitecture,launchtime,privateip
1,i-0131e858cf2d1e460,t2.micro,x86_64,2021-03-27 07:39:55+00:00,172.31.50.42
2,i-0cd1221953568d7a9,t2.micro,x86_64,2021-03-27 07:39:55+00:00,172.31.26.21
